"FL_DATE","OP_UNIQUE_CARRIER","ORIGIN","ORIGIN_CITY_NAME","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","CANCELLED","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2017-12-02,"AS","KTN","Ketchikan, AK","SEA","Seattle, WA","0953",-12.00,0.00,"1227",-16.00,0.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","KTN","Ketchikan, AK","0750",-3.00,0.00,"0851",-4.00,0.00,0.00,,,,,,
2017-12-02,"AS","CDV","Cordova, AK","ANC","Anchorage, AK","1324",-9.00,0.00,"1412",5.00,5.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","YAK","Yakutat, AK","0958",-5.00,0.00,"1107",8.00,8.00,0.00,,,,,,
2017-12-02,"AS","SEA","Seattle, WA","JNU","Juneau, AK","0729",-2.00,0.00,"0901",-11.00,0.00,0.00,,,,,,
2017-12-02,"AS","YAK","Yakutat, AK","CDV","Cordova, AK","1144",3.00,3.00,"1234",2.00,2.00,0.00,,,,,,
2017-12-02,"AS","SIT","Sitka, AK","KTN","Ketchikan, AK","1200",-11.00,0.00,"1240",-6.00,0.00,0.00,,,,,,
2017-12-02,"AS","KTN","Ketchikan, AK","SEA","Seattle, WA","1351",-22.00,0.00,"1613",-28.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","JNU","Juneau, AK","0741",-15.00,0.00,"0910",-10.00,0.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","SIT","Sitka, AK","1023",-12.00,0.00,"1111",3.00,3.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","PSG","Petersburg, AK","1332",3.00,3.00,"1435",18.00,18.00,0.00,0.00,0.00,18.00,0.00,0.00,
2017-12-02,"AS","ANC","Anchorage, AK","JNU","Juneau, AK","1105",13.00,13.00,"1259",15.00,15.00,0.00,13.00,0.00,2.00,0.00,0.00,
2017-12-02,"AS","WRG","Wrangell, AK","KTN","Ketchikan, AK","1623",-14.00,0.00,"1648",-8.00,0.00,0.00,,,,,,
2017-12-02,"AS","PSG","Petersburg, AK","WRG","Wrangell, AK","1514",-14.00,0.00,"1534",-3.00,0.00,0.00,,,,,,
2017-12-02,"AS","KTN","Ketchikan, AK","SEA","Seattle, WA","1744",-14.00,0.00,"2018",-16.00,0.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","ANC","Anchorage, AK","1344",-4.00,0.00,"1529",6.00,6.00,0.00,,,,,,
2017-12-02,"AS","KTN","Ketchikan, AK","WRG","Wrangell, AK","0925",0.00,0.00,"1008",1.00,1.00,0.00,,,,,,
2017-12-02,"AS","WRG","Wrangell, AK","PSG","Petersburg, AK","1055",-17.00,0.00,"1107",-10.00,0.00,0.00,,,,,,
2017-12-02,"AS","PSG","Petersburg, AK","JNU","Juneau, AK","1202",-18.00,0.00,"1230",-17.00,0.00,0.00,,,,,,
2017-12-02,"AS","SEA","Seattle, WA","KTN","Ketchikan, AK","0730",-3.00,0.00,"0840",10.00,10.00,0.00,,,,,,
2017-12-02,"AS","CDV","Cordova, AK","YAK","Yakutat, AK","1704",-19.00,0.00,"1732",-18.00,0.00,0.00,,,,,,
2017-12-02,"AS","YAK","Yakutat, AK","JNU","Juneau, AK","1842",-25.00,0.00,"1901",-25.00,0.00,0.00,,,,,,
2017-12-02,"AS","ANC","Anchorage, AK","CDV","Cordova, AK","1524",-16.00,0.00,"1605",-8.00,0.00,0.00,,,,,,
2017-12-02,"AS","JNU","Juneau, AK","SEA","Seattle, WA","2020",-17.00,0.00,"2307",-40.00,0.00,0.00,,,,,,
2017-12-02,"AS","SIT","Sitka, AK","JNU","Juneau, AK","1912",85.00,85.00,"2110",80.00,80.00,0.00,0.00,0.00,0.00,0.00,80.00,
